lon,lat,city
-2.75208,52.71009,SHREWSBURY
11.33283,43.32004,SIENA
4.1437,51.16509,SINT NIKLAAS
15.283333,37.083333,SIRACUSA
8.10619,51.57558,SOEST
14.55302,53.42894,STETTIN (SZCZECIN)
18.0649,59.33258,STOCKHOLM
-2.1601108,53.4077455,STOCKPORT
13.0818,54.30911,STRALSUND
7.74296,48.58342,STRASBOURG
9.17702,48.78232,STUTTGART
-1.375053,54.9063791,SUNDERLAND
17.22972,40.47611,TARANTO
13.69555,37.98365,TERMINI
-4.024444,39.856667,TOLEDO
7.66667,45.05,TORINO
5.93333,43.11667,TOULON
1.44367,43.60426,TOULOUSE
3.38932,50.60715,TOURNAI
0.68333,47.38333,TOURS
12.51077,38.01584,TRAPANI
12.245,45.66667,TREVISO
13.78,45.64861,TRIESTE
4.08333,48.3,TROYES
-3.3705,38.01328,UBEDA
13.24222,46.06194,UDINE
9.99155,48.39841,ULM
5.12222,52.09083,UTRECHT
-5.78093,37.18516,UTRERA
-0.37739,39.46975,VALENCIA
3.53333,50.35,VALENCIENNES
-4.72372,41.65518,VALLADOLID
12.32667,45.43861,VENEZIA
8.41533,45.32306,VERCELLI
10.99779,45.43419,VERONA
2.13333,48.8,VERSAILLES
11.5409,45.55729,VICENZA
16.37208,48.20849,VIENNE
8.86114,45.31166,VIGEVANO
12.10856,42.41783,VITERBO
-2.5943178,53.3899497,WARRINGTON
21.01178,52.22977,WARSZAWA
-7.11194,52.25833,WATERFORD
-2.524,52.658,WENLOCK
16.37208,48.20849,WIEN
-2.6264624,53.5457188,WIGAN
-2.127567,52.5847651,WOLVERHAMPTON
-2.16667,52.16667,WORCESTER
9.93611,49.78778,WURZBURG
1.73052,52.60831,YARMOUTH
-1.0814175,53.9593817,YORK
4.82643,52.43854,ZAANDAM
-0.883333,41.65,ZARAGOZA
8.55,47.36667,ZURICH
6.09444,52.5125,ZWOLLE
